Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
RoboRAVE;Asociace pro mládež. Vědu a techniku AMAVET, z. s.;Týmová robotická soutěž RoboRAVE.;13;oborová;březen 2026;březen 2026;březen 2026;Ano;Ne;Soutěž navazuje na RoboRAVE International, největší robotickou soutěž pořádanou od roku 2001 ve státě Nové Mexiko, USA pro žáky ve věku od 8 až 18 let. Program “Inquiry Facilitators Inc., RoboRAVE International” přináší soutěž, která děti sbližuje s akademickými a praktickými pracovními dovednostmi 21. století zpřístupňováním světa vysokých technologií. Název soutěže vychází z anglického Robots Are Very Educational (volně přeloženo: Roboti jsou velmi přínosní pro vzdělávání). CÍL SOUTĚŽE • Podněcovat co nejvíce žáků základních a středních škol prostřednictvím řešení konkrétních robotických úkolů k odhalování a rozvíjení jejich tvůrčích schopností v technické oblasti a zájmu o studium technických oborů. • Napomáhat k vyhledávání talentů oblasti robotiky a zpřístupňovat jim výzkumná, vývojová a výrobní pracoviště i laboratoře vysokých škol v oblasti robotiky. • Umožňovat co největšímu počtu talentovaných žáků další odborný růst formou účasti v soutěžích a specializovaných aktivitách v ČR i zajišťováním individuální i kolektivní účasti na odborných akcích v zahraničí. Soutěžní tým v počtu nejméně dvou a nejvíce tří členů přihlašuje soutěžní projekt robota, který splňuje podmínky stanovené vyhlašovatelem. Při vývoji a konstruování robota je možné spolupracovat s odborníky, výzkumnými ústavy a odbornými institucemi. Musí však být prokazatelný podíl mladých řešitelů na výsledcích práce. Autoři mohou využívat libovolné robotické stavebnice nebo jejich části. Vítězný tým soutěže v kategorii středoškoláků Hašení ohně postupuje na mezinárodní soutěž RoboRAVE International. Soutěž RoboRaVE je plně propojena s RVP a usiluje o rozvoj všech klíčových kompetencí, především kompetence k řešení problémů. Soutěž je zaměřena zejména na vzdělávací oblast Informační a komunikační technologie (ICT) v Rámcovém programu pro základní vzdělávání (RVP ZV). A v Rámcových vzdělávacích programech pro gymnázia a střední odborné vzdělávání je zaměřena na vzdělávací oblast Informatika a ICT.;Ing. Stanislav Medřický, CSc.;602 408 418;amavet@amavet.cz;Asociace pro mládež, vědu a techniku AMAVET, z. s;Starochodovská 1360/78, 149 00 Praha 4 - Chodov;www.amavet.cz
EXPO SCIENCE AMAVET;Asociace pro mládež. Vědu a techniku AMAVET, z. s.;Soutěž vědeckých a technických projektů středoškolské mládeže EXPO SCIENCE AMAVET;31;oborová;únor 2026;březen 2026;duben 2026;Ano;Ano;Obsahem soutěže je dlouhodobá systematická práce na vědeckém nebo technickém projektu, která probíhá podle přesně definovaného postupu a tvoří základy vědeckého způsobu řešení problémů. Výzkumné projekty je možné uskutečňovat jak ve škole, tak na fakultách vysokých škol, vědeckých a výzkumných pracovištích i v podnikatelských společnostech. Cílem soutěže je: 1. Podněcovat co nejvíce talentovaných středoškoláků prostřednictvím řešení konkrétních vědeckých a technických projektů k odhalování a rozvíjení tvůrčích schopností a dovednosti svoji práci prezentovat odborné i široké veřejnosti. 2. Napomáhat k vyhledávání talentů v oblasti vědy a techniky a zpřístupňovat jim vědecká a výzkumná pracovitě i laboratoře vysokých škol. 3. Umožňovat co největšímu počtu talentovaných středoškoláků další odborný růst formou účasti na specializovaných aktivitách v ČR i zajišťováním individuální i kolektivní účasti na odborných akcích v zahraničí. Soutěž plně navazuje na RVP a usiluje o další rozvíjení klíčových kompetencí a je zejména zaměřena na rozvoj kompetencí k řešení problémů.;Ing. Stanislav Medřický, CSc.;602 408 418;amavet@amavet.cz;Asociace pro mládež, vědu a techniku AMAVET, z. s;Starochodovská 1360/78, 149 00 Praha 4 - Chodov;www.amavet.cz
Biologická olympiáda;Univerzita Karlova;Biologická olympiáda (BiO) je předmětová soutěž ve znalostech z přírodopisu a biologie určena žákům základních a středních škol. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech a svým pojetím přispívá k dalšímu rozvíjení klíčových kompetencí. Jedná se o systematickou, kontinuálně probíhající mimoškolní činnost, jejímž cílem je vzbudit zájem a motivovat žáky, vyhledávat talenty, rozvíjet jejich nadání, podporovat odborný růst a další vzdělávání v oboru a nejlepší z nich připravovat na reprezentaci v mezinárodních soutěžích.;60;oborová;březen - duben 2026;březen - květen 2026;duben 2026;Ano;Ano;"Biologická olympiáda (BiO) je předmětová soutěž ve znalostech z přírodopisu a biologie určena žákům základních a středních škol. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech a svým pojetím přispívá k dalšímu rozvíjení klíčových kompetencí. Koncepce BiO je v souladu s Mezinárodní biologickou olympiádou (MBO). Jedná se o systematickou, kontinuálně probíhající mimoškolní činnost, jejímž cílem je vzbudit zájem a motivovat žáky, vyhledávat talenty, rozvíjet jejich nadání, podporovat odborný růst a další vzdělávání v oboru a nejlepší z nich připravovat na reprezentaci v MBO. Žákům se zájmem o daný obor zároveň nabízí účelné využití volného času a přiměřeně přispívá k rozvoji osobnosti. Soutěž má dlouholetou tradici a patří k nejstarším přírodovědným soutěžím v České republice. Na BiO navazují dvě mezinárodní soutěže - MBO (International Biology Olympiad - IBO, www.ibo-info.org) a EOES (European Olympiad of Experimental Science, https://www.eoes.science/). Tematické zaměření a přípravu soutěžních úloh garantuje Ústřední komise BiO, která je řídícím orgánem soutěže. Soutěžní úlohy a jejich řešení, včetně veškerých studijních materiálů, připravují příslušné pracovní skupiny, které jsou zřizovány Ústřední komisí BiO – Pracovní skupina pro tvorbu úloh BiO kategorií C a D, Pracovní skupina pro tvorbu úloh BiO kategorii A a B. Příprava soutěžících na účast v mezinárodních soutěžích je hlavním úkolem členů Pracovní skupiny BiO pro mezinárodní soutěže. BiO je soutěž postupová. Soutěžní úlohy jednotlivých kol jsou závazné a jednotné pro celé území České republiky a podléhají utajení. Garantem BiO, jenž zabezpečuje uskutečnění soutěže na celostátní úrovni v daném kalendářním, resp. školním roce, je od poloviny roku 2022 z pověření MŠMT Přírodovědecká fakulta Univerzity Karlovy, kde sídlí Sekretariát BiO. Organizace školních kol BiO všech kategorii je v kompetenci příslušných škol, garanty okresních a krajských kol BiO jsou příslušné krajské úřady. V rámci soutěže probíhají odborná soustředění, která jsou její nedílnou součástí a významnou měrou přispívají k naplnění cílů soutěže. Přípravné výběrové soustředění před MBO absolvují soutěžící, kteří obsadili prvních 12 míst v ústředním kole soutěže. Soustředění se uskutečňuje jako teoretická a praktická příprava soutěžících s důrazem na disciplíny klíčové pro MBO, v souladu s pravidly danými organizačním řádem této soutěže. Výběr soutěžících do reprezentačního týmu probíhá dle přísně stanovených kritérií. Na BiO navazují také letní odborná soustředění. Jedná se o dvě dvoutýdenní akce táborového typu (jedna pro kat. A a B; a jedna pro kat. C a D). Obě akce se konají v době letních prázdnin společně se soustředěním Chemické olympiády. Garantem letních odborných soustředění jsou VŠCHT pro první soustředění (BiO kat. A, B) a PřF UK pro druhé soustředění (BiO kat. C, D). Odbornou stránku zajišťují lektoři z řad středoškolských a vysokoškolských pedagogů a z dalších odborných institucí.";RNDr. Lenka Libusová, Ph.D.;603 926 756;lenka.libusova@natur.cuni.cz;Katedra buněčné biologie;Viničná 7, Praha 2, 12000;https://olympiada.natur.cuni.cz/cs/
Fyzikální olympiáda;Jednota českých matematiků a fyziků;Fyzikální olympiáda (FO) je druhá nejstarší předmětová soutěž v České republice, vznikla již v roce 1959 a nikdy nebyla přerušena. Účastníci soutěží v řešení teoretických i experimentálních úloh. V současnosti je organizována ve 4 středoškolských kategoriích a ve 3 kategoriích pro základní školy. Hlavním cílem soutěže je vyhledávat a podporovat žáky s talentem na přírodní vědy. Nejlepší řešitelé pak soutěží v mezinárodních soutěžích - Mezinárodní fyzikální olympiádě, Evropské fyzikální olympiádě a Evropské olympiádě experimentální vědy.;67;oborová;16. března 2026 (EF), 6. dubna - 31. května (G);14. ledna 2026 (A), 22. dubna 2026 (BCD), 1. dubna (E) ;3. - 6. února 2026;Ano;Ano;Soutěž navazuje na vzdělávací oblasti „Člověk a příroda“ (vzdělávací obor Fyzika) a částečně „Matematika a její aplikace“ a „Informatika a informační a komunikační technologie“. Soutěžní úlohy napomáhají rozvoji klíčových kompetencí obsažených v RVP pro gymnázia, zejména kompetence k učení a kompetence k řešení problémů.;doc. RNDr. Jan Kříž, Ph.D. ;734 420 623;jan.kriz@uhk.cz;Katedra fyziky Přírodovědecké fakulty Univerity Hradec Králové;Rokitanského 62/26, 500 03 Hradec Králové;https://fyzikalniolympiada.cz/
Pražská střela;Gymnázium Christiana Dopplera;Soutěž s unikátně vytvořenými matematickými úlohami je určená pro tří až pětičlenné týmy žáků 8. a 9. tříd ZŠ. Necílí jen na matematické schopnosti a znalosti, ale i na týmovou spolupráci a rozvahu s herním rozpočtem. Její osobitost spočívá v unikátním herním systému.;30;oborová;listopad - prosinec 2025;x;listopad - prosinec 2025;Ne;Ne;Úlohy jsou tvořeny v souladu s revidovaným RVP 2. stupně ZŠ s nadstavbou zaměřenou na logické myšlení a práci s informacemi. Dále je kladen důraz na propojování témat a schopnost aplikace teoretických znalostí v praktických úlohách.;Mgr. Michaela Mazná;226 294 500;mazna@gchd.cz;Gymnázium Christiana Dopplera;Zborovská 621/45, 150 00 Praha 5 - Malá Strana;https://strela-vlna.gchd.cz
Dopplerova vlna;Gymnázium Christiana Dopplera;Soutěž využívající unikátně vytvořené fyzikální úlohy je určena pro tří až pětičlenné týmy žáků 8. a 9. tříd ZŠ. Necílí jen na fyzikální schopnosti a znalosti, ale i na týmovou spolupráci a rozvahu s herním rozpočtem. Její osobitost spočívá v unikátním herním systému.;30;oborová;listopad - prosinec 2025;x;listopad - prosinec 2025;Ne;Ne;Úlohy jsou tvořeny v souladu s revidovaným RVP 2. stupně ZŠ s nadstavbou zaměřenou na logické myšlení a práci s informacemi. Dále je kladen důraz na propojování témat a schopnost aplikace teoretických znalostí v praktických úlohách.;Mgr. Michaela Mazná;226 294 500;mazna@gchd.cz;Gymnázium Christiana Dopplera;Zborovská 621/45, 150 00 Praha 5 - Malá Strana;https://strela-vlna.gchd.cz
Montaignova cena;Univerzita Palackého v Olomouci;V soutěži jsou hodnoceny literární eseje, které jsou založeny na studiu a reflexi literárních děl ze španělské, francouzské, italské a portugalské literatury (tj. psaných v jazyce těchto zemí). Může se jednat o rozbor konkrétních literárních děl, literární interpretaci různých složek literárního textu, srovnání více literárních textů. Odborná porota složená z literárních kritiků a filologů posuzuje zaslané texty podle jejich originality, přesvědčivosti a jazykově-stylistické kvality. Do soutěže jsou přijímány eseje studentů středních škol. Jazykem esejů je čeština nebo slovenština.;7;oborová;x;x;15. prosince 2025;Ne;Ne;"V souladu s cíli revize RVP ZV student posiluje jednu ze dvou základních gramotností, gramotnost ""čtenářskou a pisatelskou"". Využívá kompetence získané zejména ve vzdělávacích oblastech ""Jazyk a jazyková komunikace"", Člověk a jeho svět"", ""Člověk a společnost"" a ""Umění a kultura"" a aplikuje je na texty z cizích literatur. Dle své vlastní volby může při tvorbě eseje využít i kompetence získané při studiu všech průřezových témat, zejména tématu ""Společnost pro všechny"" a ""Udržitelné prostředí"". Účastí v soutěži tak student prakticky posiluje a rozvíjí řadu klíčových kompetencí definovaných v revidovaném RVP ZV, zejména klíčovou kompetenci komunikační, klíčovou kompetenci k občanství a udržitelnosti a klíčovou kompetenci kulturní.";prof. Mgr. Jiří Špička, Ph.D.;585 633 361;jiri.spicka@upol.cz;Katedra romanistiky, Filozofická fakulta Univerzity Palackého v Olomouci;Křížkovského 10, 779 00 Olomouc;www.romanistika.upol.cz/montaignova-cena/montaignova-cena/
Matematická olympiáda;Jednota českých matematiků a fyziků;Matematická olympiáda (MO) je nejstarší předmětová soutěž na našich středních školách. Každý rok se jí účastní více než dvě desítky tisíc žáků základních a středních škol. Hlavním cílem soutěže je zvýšit zájem mladých lidí o matematiku a informatiku, vyhledávat a rozvíjet talenty v této vědě. Z vítězů ústředních kol se každoročně vybírají účastníci pro celosvětové soutěže Mezinárodní matematickou olympiádu a Mezinárodní olympiádu v informatice a pro další mezinárodní soutěže.;75;oborová;28. ledna 2026 (Z5, Z9), 1. dubna 2026 (Z6, Z7 a Z8);13. ledna 2026 (A), 20. ledna 2026 (P), 24. března 2026 (Z9) a 31. března 2026 (B,C);15. - 18. března 2026 (a), 18. - 20. března 2026(P);Ano;Ano;"Soutěž ve vztahu k RVP přímo navazuje na vzdělávací oblast ""Matematika a její aplikace"" a jeji stejnojmenný vzdělávací obor.";doc. RNDr. Tomáš Bárta, PhD.;776 239 437;tomas.barta@mff.cuni.cz;KMA MFF UK Praha;Sokolovská 49/83, Praha 8;www.matematickaolympiada.cz
Matematický klokan 2026;Jednota českých matematiků a fyziků;Matematická multiple choice soutěž určena nejširšímu okruhu žáků základních a středních škol, která si klade za cíl matematiku propagovat a popularizovat, případně mezi mladšími účastníky vyhledávat matematicky talentované žáky.;32;oborová;x;x;20. března 2026;Ano;Ano;Náročnost a obsah úloh odpovídá RVP-ZV. Český organizační tým zohledňuje při přípravě úloh probíhající revizi RVP-ZV.;Mgr. Vladimír Vaněk, Ph.D.;585 634 645;vladimir.vanek@upol.cz;KAG PřF UPOL, JČMF pobočný spolek Olomouc;17. listopadu 12, 77146, Olomouc;matematickyklokan.upol.cz
Geografická olympiáda;Univerzita Karlova;Geografická (dříve Zeměpisná) olympiáda je oborovou soutěží pro žáky 2. stupňů základních a středních škol, které zajímá geografie, mají znalosti o přírodě i lidské společnosti a baví je sledovat dění ve světě i kolem sebe. Účast v Geografické olympiádě přináší mimo jiné možnost získat nové zkušenosti nad rámec běžné výuky geografie, změřit síly s ostatními soutěžícími z celého Česka, a v případě úspěchu se zúčastnit mezinárodních geografických soutěží. Odbornost soutěže garantuje Geografická sekce Přírodovědecké fakulty Univerzity Karlovy (Praha), ve spolupráci s Ústřední komisí Geografické olympiády a Českou geografickou společností.;28;oborová;18. února 2026;25. března 2026;23. a 24. dubna 2026;Ano;Ano;Geografická olympiáda je v souladu s očekávanými výstupy RVP ZV a aktivně reflektuje novinky vyplývající z probíhající revize. Po vyčlenění geografie jako samostatné vzdělávací oblasti soutěž přímo navazuje na jednotlivé cíle i tematické celky, vhodně se zaměřuje na uvedené učivo a rozvíjí jej v souvislostech všech dílčích tematických oblastí a měřítek – od lokální až po globální úroveň. Revize RVP ZV změnila název vzdělávacího oboru ze Zeměpis na Geografie, na což jsme reagovali úpravou názvu soutěže. Vzhledem k tomu, že Geografická olympiáda ověřuje znalosti a dovednosti soutěžících v mnoha aspektech (písemný test, práce s atlasem, praktická část, práce v terénu), lze konstatovat, že napomáhá rozvoji klíčových kompetencí dle revidovaného RVP ZV.;RNDr. Jakub Jelen, Ph.D.;728 368 944;jelenja@natur.cuni.cz;Univerzita Karlova, Přírodovědecká fakulta, katedra sociální geografie a regionálního rozvoje;Albertov 6, 128 00 Praha 2;www.geografickaolympiada.cz
Přírodovědný klokan;Univerzita Palackého v Olomoucí;Přírodovědný klokan je soutěž, která propojuje přírodovědné obory. Soutěžícím je zadán test, který obsahuje 24 úloh tematicky zaměřených především na fyziku, biologii, chemii, geografii, matematiku, logiku, přičemž soutěžící vybírají jednu správnou odpověď z pěti nabízených možností. Na řešení mají 40 minut čistého času. Nejúspěšnější řešitelé v každé kategorii jsou odměněni věcnou cenou. Soutěž není postupová, ale jednorázová - školní, okresní, krajské i ústřední kolo probíhá v jediný okamžik.;20;oborová;x;x;15. října 2025;Ne;Ano;Požadované znalosti odpovídají v RVP uvedeným přírodovědným předmětům podle vzdělávacích oblastí, navazují na ně a reflektují probíhající revizi RVP ZV.;Mgr. Jiří Hátle, Ph.D.;724 315 456;jiri.hatle@upol.cz;Katedra algebry a geometrie, Přírodovědecká fakulta Univerzity Palackého v Olomouci;17. listopadu 1192/12, 779 00 Olomouc;http://www.kag.upol.cz/prirodovednyklokan
23. ročník Astronomické olympiády;Česká astronomická společnost;Astronomická olympiáda je předmětovou soutěží z oboru astronomie a příbuzných oborů, která je určena pro žáky základních a středních škol. Cílem olympiády je napomáhat vyhledávání talentovaných žáků a systematicky podporovat a rozvíjet jejich odborný růst. Astronomická olympiáda je dle potřeby členěna do jednotlivých kol a věkových kategorií. Nejmladší věková kategorie (H) je určena žákům 6. ročníků základních škol a 1. ročníků osmiletých gymnázií, nejstarší věková kategorie (A) je pro žáky 4. ročníků středních škol, 8. ročníků osmiletých gymnázií a 6. ročníků šestiletých gymnázií.;23;oborová;x;19. listopadu 2025 - 25. ledna 2026 (A, B), 14. ledna - 22. března 2026 (CD, EF, GH) ;25. - 27. března 2026 (AB), 13. - 15. května 2026 (CD), 22. května 2026;Ano;Ano;Astronomie je v RVP zařazena ve vzdělávací oblasti Člověk a příroda. V oblasti základního vzdělávání jsou astronomické poznatky, jevy a procesy součástí vzdělávacích oborů fyzika a zeměpis. Kompetence, které si žáci v rámci těchto vzdělávacích oborů osvojují, pomáhají rozvíjet i úlohy astronomické olympiády v kategoriích EF a GH, a to v rámci všech soutěžních kol. Obdobně v oblasti gymnaziálního vzdělávání jsou astronomické poznatky, jevy a procesy nejvíce zahrnuty ve vzdělávacích oblastech fyzika a geografie. Tyto poznatky jsou rozvíjeny, obohacovány a zařazovány do širšího rámce v úlohách astronomické olympiády kategorií CD a AB. Úlohy ve všech kategoriích mají jednak vzdělávací aspekt spojený přímo s jednotlivými astronomickými poznatky, jednak aspekt širší, operační, který přesahuje samotnou tematiku a umožňuje lépe pochopit místo člověka v přírodě a Země ve vesmíru, hlouběji porozumět zákonitostem přírodních procesů, rozvíjet dovednost cíleně, systematicky a spolehlivě pozorovat procesy v přírodě a pozorování vědeckými metodami vyhodnocovat, učit se vnímat vědecký postup formulování a ověřování hypotéz a chápat, že jediným kritériem pro platnost hypotéz je jejich naprostý souhlas s pozorováními. Soutěž rozvíjí schopnost žáků samostatně a kreativně aplikovat také kompetence získané ve vzdělávacím oboru matematika. Jako příklady lze uvést goniometrické funkce, úhly, Pythagorova věta, sinová věta, kosinová věta, trojčlenka, přímá a nepřímá úměra, mocniny, odmocniny, kvadratické rovnice, logaritmy a základy statistiky.;RNDr. Tomáš Prosecký;602 689 491;olympiada@astro.cz;Štefánikova hvězdárna;Strahovská 205, 118 00 Praha 1;https://olympiada.astro.cz/
Celostátní matematická soutěž žáků SOŠ;Jednota českých matematiků a fyziků;Matematická soutěž pro žáky středních škol a učilišť. 1 - 4. ročníky SŠ, kategorie I. - III. (1. - 3. ročník učebních oborů), kategorie IV. - VII. (1. - 4. ročník studijních oborů).;33;oborová;x;x;březen 2026;Ne;Ano;Soutěžní úkoly jsou upravovány podle revidovaného RVP ZV;Aleš Kubíček, Mgr.;571 755 555;ales.kubicek@oavm.cz;Obchodní akademie a Vyšší odborná škola Valašské Meziříčí;Masarykova 101/18, Krásno nad Bečvou, 757 01 Valašské Meziříč;www.oavm.cz/matematicka-soutez/
Soutěž Finanční gramotnost 2025/2026;METODICA, institut pro další vzdělávání,z.s.;Soutěž Finanční gramotnost je určena žákům základních a studentům středních škol v celé České republice. Jejím cílem je zatraktivnit výuku finanční gramotnosti, rozšiřovat a ověřovat znalosti žáků a studentů a zároveň je seznamovat se světem financí. Finanční gramotnost je klíčovou kompetencí pro úspěšné fungování v každodenním životě. Soutěž klade důraz na aktuálnost témat a jejich praktické využití. Zároveň podporuje rozvoj širších kompetencí, jako je kritické myšlení, týmová spolupráce, komunikační a prezentační dovednosti. Soutěž finanční gramotnost vytváří interaktivní a soutěživé prostředí, které motivuje žáky ke vzdělávání v této oblasti. Tímto způsobem soutěž přispívá k rozvoji aktivního a odpovědného přístupu žáků ke správě osobních financí a napomáhá ke zvyšování úrovně finanční gramotnosti na základních a středních školách v České republice.;15;oborová;5. leden - 26. leden 2026;únor až duben 2026;24. duben 2026;Ne;Ano;Soutěžní otázky a úkoly jsou navrženy v souladu s požadavky revidovaného Rámcového vzdělávacího programu z roku 2025, který posiluje roli finanční gramotnosti jako jedné ze základních gramotností napříč vzdělávacím obsahem. Soutěž tímto způsobem přispívá k rozvoji klíčových kompetencí žáků, především v oblasti kritického a systémového myšlení, digitální bezpečnosti a schopnosti činit informovaná a odpovědná finanční rozhodnutí. Oproti předchozím ročníkům soutěže bude nyní větší důraz kladen na praktické využití znalostí a na schopnost žáků reagovat na aktuální výzvy moderního finančního světa. Soutěž tak nově akcentuje zejména témata jako: • digitální finance a bezpečné chování v online prostředí, • ochranu osobních a finančních údajů v digitálním prostředí, • kritické vyhodnocování online nabídek a marketingových taktik, • pochopení vlivu makroekonomických jevů, jako je inflace, na osobní finance, • dlouhodobé finanční plánování včetně zabezpečení na stáří, • řešení finančních krizí včetně zadlužení a předlužení, • dopady vlastního finančního chování na společnost a životní prostředí. Tímto posunem soutěž reaguje na změnu přístupu ve vzdělávání, která od žáků nevyžaduje pouze znalosti o penězích, ale především schopnost porozumět souvislostem, rozhodovat se odpovědně a bezpečně jednat v digitálním i reálném finančním prostředí. Soutěž tak plně reflektuje nové pojetí finanční gramotnosti jako průřezové složky základního vzdělávání, propojené s dalšími gramotnostmi (matematickou, čtenářskou, digitální, občanskou). Žáci se díky ní budou učit chápat finanční realitu v širších souvislostech a osvojovat si kompetence pro praktický život v současné společnosti.;RNDr. Marie Štefánková;731 464 595;stefankova@metodica.cz;Evropská asociace finančního plánování Česká republika;Karlínské náměstí 238/6, 186 00 Praha 8;www.financnigramotnost.cz
Eurorebus;TERRA-KLUB, o.p.s.;Celostátní vědomostní soutěž Eurorebus je týmová soutěž školních tříd 2. stupně základních škol a středních škol. Klade důraz na mezioborové souvislosti, schopnost logického uvažování, nadhledu a kritického myšlení při práci s informacemi. Obsahově je soutěž zařazena do vzdělávacích oblastí Geografie, Člověk a společnost, Člověk a příroda a tomu odpovídajících vzdělávacích oborů. V prvním pololetí školního roku probíhá kvalifikační internetová fáze soutěže na www.eurorebus.cz, ve které jednotliví žáci vypracovávají online soutěžní úkoly a otázky se ziskem bodů za jejich správné zpracování ve prospěch svých školních tříd. Ve druhém pololetí probíhá vyřazovací prezenční fáze týmové soutěže školních tříd ve třech oddělených věkových kategoriích (ZŠ01, ZŠ02, SŠ). V ní na základě dosaženého počtu bodů v kvalifikační fázi soutěže nejúspěšnější školní třídy postupují do prezenčních Krajských kol, ve kterých jsou reprezentovány tříčlennými žákovskými týmy. Z Krajských kol pak na základě úspěšnosti ve vědomostních týmových soutěžních testech v rámci jednotlivých věkových kategorií postupují do prezenčního Celostátního finále. Z něho pak vzejdou nejúspěšnější školní třídy v každé z oddělených věkových kategorií v daném soutěžním ročníku.;31;oborová;x;duben 2026;červen 2026;Ne;Ano;Soutěž reflektuje revizi Rámcového vzdělávacího programu pro základní vzdělávání zejména posílením významu kritické práce s daty a schopnosti jejich kontextové interpretace. Součástí systému kvalifikační internetové fáze soutěže je i tzv. DataBox (s online přístupem), tedy zdroj informací sestavovaný z oborově různorodých tematických celků vzdělávacích oblastí Geografie, Člověka a společnost, Člověka a příroda. Soutěžící tak mají k dispozici tematickou infografiku (texty, mapy, grafy, schémata, přehledy), která slouží jako zdroj výchozích informací k jejich kombinaci do souvislostí pro správné zpracování jednotlivých soutěžních úkolů a otázek. Není tak kladen důraz na pouze faktické (encyklopedické) znalosti, ale důraz je kladen především na rozvoj schopností kombinace, kontextu, na význam mezioborových přesahů a praktického využití schopností kritické aktivní práce s informacemi. Na stejných principech je soutěž koncipována i ve vyřazovací fázi prezenčních Krajských kol a prezenčním Celostátním finále. Soutěž navíc formou hry rozvíjí i digitální gramotnost soutěžících.;Daniel, Kozák, Mgr.;221 511 440;terra@terra-klub.cz;TERRA-KLUB, o.p.s.;Soběslavská 2057/34, 13000 Praha 3 - Vinohrady;www.eurorebus.cz
Turnaj mladých fyziků;Jednota českých matematiků a fyziků;Turnaj mladých fyziků (TMF) je soutěží jednotlivců a až tříčlenných družstev žáků středních škol. V soutěži jsou řešeny originální, náročné úlohy, obecně formulované fyzikální problémy. Účastníci využívají a propojují znalosti zcelé řady oborů – matematika, fyzika, chemie, biologie, zeměpis a v neposlední řadě anglický jazyk na odborné úrovni. Účastníci TMF musí navrhnout a získat nezbytné údaje důležité k řešení, vybrat optimální model pro popsání studovaného jevu, volit vhodné metody řešení a provést podrobnou diskusi získaných výsledků.;39;oborová;13. prosince 2025;29. ledna 2026;7. - 10. dubna 2026;Ano;Ano;Soutěž svým multioborovým pojetím rozvíjí mezipředmětové vztahy. Zahrnuje přitom vzdělávací oblasti „Člověk a příroda“, „Matematika a její aplikace“, „Informatika a informační a komunikační technologie“ a „Jazyk a jazyková komunikace“. Přesahuje částečně i do dalších vzdělávacích oblastí. Soutěžní úlohy napomáhají rozvoji většiny klíčových kompetencí obsažených v RVP pro gymnázia. Kromě kompetencí k učení a k řešení problémů jsou to kompetence komunikativní (schopnost prezentovat a obhajovat své řešení, schopnostvědecké diskuze v anglickém jazyce), sociální a personální (schopnost být platným členem pracovního týmu či jej vést v roli kapitána) a částečně i kompetence k podnikavosti (schopnost usilovat o dosažení stanovených cílů, uplatňovat proaktivní přístup, vlastní iniciativu a tvořivost).;Mgr. Stanislav Panoš, Ph.D;608 510 655;stanislav.panos@seznam.cz;Gymnázium F. X. Šaldy, Liberec, Partyzánská 530, příspěvková organizace;Partyzánská 530/3, 460 01 Liberec 11;https://www.tmfcr.cz/
Filosofická olympiáda;Univerzita Hradec Králové;"Filosofická olympiáda je primárně určena studentkám a studentům absolventských ročníků středních škol (zúčastnit se nicméně mohou i studenti a studentky ročníků nižších). Organizátorem je Katedra filozofie a společenských věd Univerzity Hradec Králové pod patronací děkanátu filozofické fakulty. Soutěž je dvoukolová. První kolo probíhá v lednu online na zúčastněných středních školách. Soutěžícím je předložena písemná forma testu, skládající se ze tří okruhů (všeobecný přehled ve filosofii; kritické myšlení a argumentace; myšlenkové hry a experimenty ve filosofii). Formát druhého kola je navržen tak, aby otestoval dovednosti jasně vyjadřovat argumentačně podložené myšlenky při analýze určitého filosofického problému. Studujícím je předložena názorová pozice v podobě teze a jejich úkolem je zaujmout stanovisko a danou tezi hájit, či vyvracet prostřednictvím eseje.";7;oborová;12. - 16. leden 2026;x;6. únor 2026;Ne;Ne;Hlavní motivací projektu je snaha představit filosofii jako moderní a svěží disciplínu, která není jen historickým přehledem myšlenek o odtažitých otázkách, ale oborem, jenž dokáže smysluplně přispět k diskusím nad zcela současnými problémy. Zároveň jde o reakci na skutečnost, že olympiády z chemie, fyziky či matematiky mají dlouholetou tradici a soutěže podobného typu existují i v předmětech jako zeměpis, dějepis nebo v případě jazyků, avšak chybí u čistě společenskovědních disciplín. Projekt filosofické olympiády se pokouší tento deficit napravit a nabídnout možnost realizace rovněž pro studenty, kteří se profilují tímto směrem. A konečně je součástí záměru organizátorů nabídnout platformu pro setkávání středoškolských a vysokoškolských učitelů a jejich studentů se společným zájmem v humanitních disciplínách. Současně by mohla filosofická olympiáda sloužit pro vzájemnou výměnu pedagogických zkušeností, didaktických metod, nápadů a otevřenou diskuzi o soudobých tématech ve filosofii mezi všemi zúčastněnými (taktéž: https://www.youtube.com/watch?v=zXIg3ELLDxI).;Mgr. et. Mgr. Michal Rigel, Ph.D.;604 546 571;michal.rigel@uhk.cz;Katefra filosofie a společenských věd, FF UHK;nám. Svobody 331, 500 03, Hradec Králové;www.filosofickaolympiada.cz
